original,normalized
FORSCHUNGSZENTRUM JUELICH,Forschungszentrum Jülich
GOETTINGEN STATE AND UNIVERSITY LIBRARY,GöTTINGEN STATE AND UNIVERSITY LIBRARY
INDEPENDENT,INDEPENDIENT
NATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,National University of Science and Technology
NATIONAL  UNIVERSITY OF SCIENCE AND TECHNOLOGY,National University of Science and Technology
NONE,None
none,None
"EUROPEAN COMMISSION, JOINT RESEARCH CENTRE",EUROPEAN COMMISSION - JOINT RESEARCH CENTRE
EUROPEAN COMMISSION JOINT RESEARCH CENTRE,EUROPEAN COMMISSION - JOINT RESEARCH CENTRE
ISTI/CNR,ISTI-CNR
AUSTRALIAN NATIONAL DATA SERVICE,AUSTRALIAN NATIONAL  DATA SERVICE
PANGAEA - DATA PUBLISHER FOR EARTH &amp; ENVIRONMENTAL SCIENCE,PANGAEA -  DATA PUBLISHER FOR EARTH &amp; ENVIRONMENTAL SCIENCE
INSTITUTE FOR ELECTROMAGNETIC SENSING OF THE ENVIRONMENT CNR - IREA,CNR - INSTITUTE FOR ELECTROMAGNETIC SENSING OF THE ENVIRONMENT (IREA)
MICROSOFT,Microsoft
DLR GERMAN AEROSPACE CENTER,German Aerospace Center (DLR)
DEUTSCHES KLIMARECHENZENTRUM [DKRZ],DEUTSCHES KLIMARECHENZENTRUM (DKRZ)
NA,N/A
UNIVERSITY OF LJUBLJANA,University of Ljubljana
FEUP /INESC TEC,INESC TEC / FEUP
NATIONAL LIBRARY OF TECHNOLOGY,National Library of Technology
LANDCARE RESEARCH NZ LTD,LANDCARE RESEARCH (NZ) LTD
"MINISTRY OF EDUCATION, CULTURE, SPORTS, SCIENCE AND TECHNOLOGY","Ministry of Education, Culture, Sports, Science and Technology"
"""ATHENA"" RC",ATHENA RC
DANS KNAW,DANS - KNAW
BUNDESANSTALT FüR MATERIALFORSCHUNG UND -PRüFUNG BAM,BAM BUNDESANSTALT FüR MATERIALFORSCHUNG UND -PRüFUNG
UNIVERSITY OF SOUTHEASTERN NORWAY,University of South-Eastern Norway
UNIVERSITY OF ARIZONA,University of Arizona
FIZ KARLSRUHE - LEIBNIZ INSTITUTE FOR INFORMATION INFRASTRUCTURE,FIZ Karlsruhe – Leibniz Institute for Information Infrastructure
EUROPEAN COMMISSION,European Commission
CARL PORTAGE,PORTAGE - CARL
FREELANCE,Freelance
UNIVERSITY OF GOETTINGEN / STATE AND UNIVERSITY LIBRARY,"UNIVERSITY OF GOETTINGEN, GOETTINGEN STATE AND UNIVERSITY LIBRARY"
SLOVENIAN SOCIAL SCIENCE DATA ARCHIVES,Slovenian Social Science Data Archives
DEFENCE SCIENCE AND TECHNOLOGY,Defence Science and Technology
CNR/IOM,CNR-IOM
CNR/IIA,CNR-IIA
UNIVERSITY COLLEGE LONDON,University College London
PURDUE UNIVERSITY LIBRARIES,Purdue University Libraries
INIST CNRS,CNRS - INIST
UNIVERSITY OF TEHRAN,University of Tehran
US EPA,U.S. EPA
RNP (REDE NACIONAL DE ENSINO E PESQUISA),REDE NACIONAL DE ENSINO E PESQUISA - RNP
SCICRUNCH INC,"SCICRUNCH, INC."
"DATA CENTRE, SCILIFELAB",SciLifeLab Data Centre
NSD- NORSK SENTER FOR FORSKNINGSDATA,NSD - NORSK SENTER FOR FORSKNINGSDATA
NATIONAL INSTITUTES OF HEALTH,National Institutes of Health
UNIVERSITY OF OXFORD,University of Oxford
CITE SA,CITE S.A.
Institut de Recherche pour le Développement,Institut de Recherche Pour le Développement
ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency
UNIVERSITY OF APPLIED SCIENCES AND ARTS WESTERN SWITZERLAND (HES-SO),HES-SO University of Applied Sciences and Arts Western Switzerland
SELF EMPLOYED,Self Employed
CSC-IT CENTER FOR SCIENCE LTD,CSC-IT CENTER FOR SCIENCE LTD.
AAAS/NSF,AAAS / NSF
Scilifelab Data Centre,SciLifeLab Data Centre
NSD - NORWEGIAN CENTRE FOR RSEARCH DATA,NSD - NORWEGIAN CENTER FOR RESEARCH DATA
LIFEWATCH-ERIC,LIFEWATCH ERIC
ESTÁCIO DE SÁ UNIVERSITY,ESTáCIO DE Sá UNIVERSITY
GLOBAL OPEN DATA FOR AGRICULTURE AND NUTRITION,GLOBAL OPEN DATA FOR AGRICULTURE AND NUTRITION (GODAN)
"RZG, MAX PLANCK SOCIETY",RZG MAX PLANCK SOCIETY
CENTER OF GENOMICS AND POLICY,CENTRE OF GENOMICS AND POLICY
ELSEVEIR,ELSEVIER
CENTRE DE DOCUMENTATION COLLEGIALE,CENTRE DE DOCUMENTATION COLLéGIALE
